siteswap,balls,max throw,canonical form,is canonical,date,animate,gif
28201209, 3, 9, 92820120, false, Wed Dec 09 2820, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjAxMjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28201209
28201227, 3, 8, 82012272, false, Sun Dec 27 2820, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjAxMjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28201227
28231224, 3, 8, 82312242, false, Sun Dec 24 2823, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjMxMjI0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28231224
28241124, 3, 8, 82411242, false, Sun Nov 24 2824, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjQxMTI0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28241124
28251114, 3, 8, 82511142, false, Fri Nov 14 2825, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjUxMTE0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28251114
28251204, 3, 8, 82512042, false, Thu Dec 04 2825, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjUxMjA0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28251204
28281111, 3, 8, 82811112, false, Sat Nov 11 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281111
28281119, 4, 9, 92828111, false, Sun Nov 19 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281119
28281120, 3, 8, 82811202, false, Mon Nov 20 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281120
28281128, 4, 8, 82828112, false, Tue Nov 28 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281128
28281201, 3, 8, 82812012, false, Fri Dec 01 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMjAxIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281201
28281209, 4, 9, 92828120, false, Sat Dec 09 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281209
28281227, 4, 8, 82812272, false, Wed Dec 27 2828, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MjgxMjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28281227
28300111, 2, 8, 83001112, false, Fri Jan 11 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300111
28300119, 3, 9, 92830011, false, Sat Jan 19 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300119
28300120, 2, 8, 83001202, false, Sun Jan 20 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300120
28300128, 3, 8, 83001282, false, Mon Jan 28 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300128
28300201, 2, 8, 83002012, false, Fri Feb 01 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMjAxIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300201
28300209, 3, 9, 92830020, false, Sat Feb 09 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300209
28300227, 3, 8, 83002272, false, Wed Feb 27 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300227
28300308, 3, 8, 83003082, false, Fri Mar 08 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMzA4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300308
28300317, 3, 8, 83003172, false, Sun Mar 17 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwMzE3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300317
28300911, 3, 9, 91128300, false, Wed Sep 11 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwOTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300911
28300919, 4, 9, 92830091, false, Thu Sep 19 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwOTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300919
